date,channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
2026-08-10,ICT111 Class Group Chat,22,14,9,6,5,"Shared right after the Lab 11 demo, in the section's own group chat"
2026-08-10,Campus QR Poster,9,3,2,1,1,Poster taped near the Building 11 entrance stairwell
2026-08-11,Instagram Story,34,11,6,3,2,Posted by Soe Yu Nwe; most views but lower click-through than the class chat
2026-08-11,ICT111 Class Group Chat,12,7,5,4,3,Reminder message after a few classmates asked about the report form
2026-08-12,Word of Mouth,6,5,4,3,3,Classmates who tried it told roommates in other sections
2026-08-12,RIC Student Line Group,18,6,3,2,1,"Shared in a wider cross-section RIC student Line group, not just ICT111"
2026-08-13,Campus QR Poster,7,2,1,1,0,Same poster location; lower traffic on a non-class day
2026-08-13,Instagram Story,21,5,3,2,2,"Second story post, fewer views since it wasn't the first time seeing it"
2026-08-14,ICT111 Class Group Chat,15,9,7,5,4,Asked for feedback specifically on the admin dashboard
2026-08-14,Facebook Group Post,11,3,1,1,1,Posted in the RIC Class of 2026 Facebook group
